NE-2018-1216519,MME-18-654Pv,NER18-02439,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,36 Mile Stretch Rd,43.43781,decimal degrees,actual,-70.3628,decimal degrees,actual,Internet,,,,,,,,,,Y,N,N,N,,Y,Harassment- People crowding around it.,,,,,,,,,,N,,Y,Y,,,,,,Y,,Y,,,,2018-SEP-05,2018,SEP,5,Beach or Land,,,Alive,Y,2018-SEP-5,2018,SEP,5,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,Y,,88,cm,actual,13,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,"Thin Pv rolling in the surf, continuously trying to haul out, people crowding around, very lethargic, sneezing, labored breathing. Euthanized. Frozen for Necropsy. Necropsied 10/6/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,36 Mile Stretch Rd,43.43781,actual,-70.3628,actual,Internet,,,,,2,Y,Y,Y,,,,N,Improbable,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216520,MME-18-655Pv,NER18-02440,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,47 Fortunes Rocks Rd,43.43238,decimal degrees,actual,-70.372,decimal degrees,actual,Internet,,,,,,,,,,Y,N,N,N,,Y,Harassment- Photos of person dragging seal into water,,,,,,,,,,N,,Y,Y,,,,,,Y,,Y,,,,2018-SEP-05,2018,SEP,5,Beach or Land,,,Alive,Y,2018-SEP-5,2018,SEP,5,Fresh Dead,,,,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,,FEMALE,YEARLING,Y,,85.5,cm,actual,19,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,"Weanling Pv hauled out on beach, lethargic, received photos of a man dragging the seal by the rear flippers back into the water. Seal died in surf and the tide brought the carcass back into shore shortly afterwards. Collected for necropsy. Necropsied 10/6/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,47 Fortunes Rocks Rd,43.43238,actual,-70.372,actual,Internet,,,,,2,,Y,Y,,,,N,Probable,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216612,MME-18-685Pv,NER18-02463,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,Middle Beach,43.43532,decimal degrees,actual,-70.3685,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-SEP-09,2018,SEP,9,Beach or Land,,,Fresh Dead,Y,2018-Sep-10,2018,SEP,10,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,Y,,136,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for Necropsy,,,,,,Y,complete,fresh,2018-Sep-10,2018,SEP,10,MMoME,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,Middle Beach,43.43532,actual,-70.3685,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216540,MME-18-681Pv,NER18-02459,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,South Portland,Cumberland,ME,Atlantic Ocean,Off Fort Rd.,43.65,decimal degrees,actual,-70.2283,decimal degrees,actual,,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-SEP-09,2018,SEP,9,Beach or Land,,,Fresh Dead,Y,2018-Sep-10,2018,SEP,10,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,YEARLING,Y,,94.5,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,MMoME Collected,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,South Portland,1509,Off Fort Rd.,43.65,actual,-70.2283,actual,,,,,Y,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216630,MME-18-703Pv,NER18-02478,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunk,York,ME,Atlantic Ocean,Goochs Beach,43.34515,decimal degrees,actual,-70.4862,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,Y,Results of Swabs,,2018-SEP-11,2018,SEP,11,Beach or Land,,,Alive,Y,2018-SEP-11,2018,SEP,11,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,Y,,94.5,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"Pv lethargic, heavy nasal congestion, labored breathing, ulcerated mouth. Euthanized.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Kennebunk,1509,Goochs Beach,43.34515,actual,-70.4862,actual,Internet,,,,Y,,,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
IFAW18-261Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1216744,MME-18-774Pv,NER18-02525,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Wells,York,ME,Atlantic Ocean,Wells Beach,43.31786,decimal degrees,actual,-70.5572,decimal degrees,actual,Internet,,,,,,,,,,CBD,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-SEP-13,2018,SEP,13,Beach or Land,,,Alive,Y,2018-SEP-13,2018,SEP,13,Alive,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,MALE,YEARLING,Y,,85,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Wells,1509,Wells Beach,43.31786,actual,-70.5572,actual,Internet,,,,Y,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216760,MME-18-783Pv,NER18-02541,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Scarborough,Cumberland,ME,Atlantic Ocean,Higgins Beach,43.56239,decimal degrees,actual,-70.2729,decimal degrees,actual,Internet,,,,,,,,,,CBD,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,,,Y,,,,2018-SEP-14,2018,SEP,14,Beach or Land,,,Alive,Y,2018-SEP-14,2018,SEP,14,Fresh Dead,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,SUBADULT,Y,,128,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Collected for necropsy,,,,,,Y,complete,fresh,2018-Sep-14,2018,SEP,14,MMoME & Tufts,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Scarborough,1509,Higgins Beach,43.56239,actual,-70.2729,actual,Internet,,,,Y,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
IFAW18-263Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1216788,MME-18-798Pv,NER18-02567,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Harpswell,Cumberland,ME,Atlantic Ocean,147 Basin Pt. Rd.,43.76268,decimal degrees,actual,-70.0258,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,Y,,,,2018-SEP-16,2018,SEP,16,Beach or Land,,,Fresh Dead,Y,2018-SEP-16,2018,SEP,16,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,YEARLING,Y,,95,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Harpswell,1509,147 Basin Pt. Rd.,43.76268,actual,-70.0258,actual,Internet,,,,,2,,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216820,MME-18-825Pv,NER18-02599,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Phippsburg,Sagadahoc,ME,Atlantic Ocean,Morses Mountain,43.72541,decimal degrees,actual,-69.8253,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-SEP-17,2018,SEP,17,Beach or Land,,,Fresh Dead,Y,2018-SEP-17,2018,SEP,17,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,SUBADULT,Y,,147,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,659,Phippsburg,1509,Morses Mountain,43.72541,actual,-69.8253,actual,Internet,,,,,,,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216822,MME-18-827Pv,NER18-02601,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Phippsburg,Sagadahoc,ME,Atlantic Ocean,Totman Cove,43.75504,decimal degrees,actual,-69.8446,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,,Y,,,,,Y,,,,,,2018-SEP-17,2018,SEP,17,Beach or Land,,,Alive,Y,2018-SEP-17,2018,SEP,17,Alive,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,MALE,YEARLING,Y,,88,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,"Emaciated Pv, significant bite wounds to back end severing one bone in right rear flipper, vertebrae in tail completely severed and tail hanging by skin, tendons severed in joint of right rear flipper, significant tissue damage with green discharge and granulated edges to right side above rear flipper, laceration across left side of muzzle, lethargic. Euthanized. Frozen for later necropsy.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,659,Phippsburg,1509,Totman Cove,43.75504,actual,-69.8446,actual,Internet,,,,,2,Y,Y,Y,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216897,MME-18-843Pv,NER18-02617,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Wells,York,ME,Atlantic Ocean,Webhannet Drive,43.28495,decimal degrees,actual,-70.5707,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-SEP-20,2018,SEP,20,,,,Alive,Y,2018-SEP-20,2018,SEP,20,Alive,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,123,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-07,2018,OCT,7,MMoME,"Alive during assessment, emaciated, just molted, extremely lethargic, labored breathing, abnormal stretching, died during field assessment, collected for necropsy.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,,35,227,Wells,1509,Webhannet Drive,43.28495,actual,-70.5707,actual,Internet,,,,,2,,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1216931,MME-18-863Pv,NER18-02637,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Wells,York,ME,Atlantic Ocean,Wells Beach,43.302442,decimal degrees,actual,-70.565989,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,Y,,,,2018-SEP-23,2018,SEP,23,Beach or Land,,,Alive,Y,2018-SEP-23,2018,SEP,23,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,MALE,YEARLING,Y,,86.5,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2018-Oct-06,2018,OCT,6,MMoME & NOAA,"Collected, euthanized - Weanling with respiratory issues, lethargic but alert, getting rolled by surf. Swabbed and frozen for necropsy. Necropsied 10/6/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Wells,1509,Wells Beach,43.302442,actual,-70.565989,actual,Internet,,,,,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
IFAW18-310Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW18-312Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1217150,MME-18-955Pv,NER18-02708,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Biddeford,York,ME,Atlantic Ocean,79 Fortunes Rocks,43.429559,decimal degrees,actual,-70.374965,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,Y,,,,2018-OCT-06,2018,OCT,6,Beach or Land,,,Alive,Y,2018-OCT-6,2018,OCT,6,Alive,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,FEMALE,ADULT,Y,,125,cm,actual,52,kg,estimate,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Necropsied,,,,,,Y,limited,fresh,2018-Oct-06,2018,OCT,6,MMoME & NOAA,Lethargic and rolling in the surf. Euthanized at center on 10/6/18. Necropsied 10/6/18.,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Biddeford,1509,79 Fortunes Rocks,43.429559,actual,-70.374965,actual,Internet,,,,,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1217165,MME-18-974Pv,NER18-02723,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Ogunquit,York,ME,Atlantic Ocean,Ogunquit Beach,43.248008,decimal degrees,actual,-70.596553,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,Y,,,,2018-OCT-09,2018,OCT,9,Beach or Land,,,Alive,Y,2018-OCT-9,2018,OCT,9,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,Y,,98,cm,actual,18,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,limited,frozen,2019-Jun-04,2019,JUN,4,MMoME,"Pv in respiratory distress, ear discharge, punctures to ventrum. Euthanized and Frozen for later necropsy. Necropsied 6/4/19.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Ogunquit,1509,Ogunquit Beach,43.248008,actual,-70.596553,actual,Internet,,,,,2,,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1217196,MME-18-983Pv,NER18-02747,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,Crescent Beach,43.563706,decimal degrees,actual,-70.220114,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,N,,,,,,,Y,,,,,,2018-OCT-14,2018,OCT,14,Beach or Land,,,Fresh Dead,Y,2018-OCT-14,2018,OCT,14,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,YEARLING,Y,,89,cm,actual,,,notMeasured,Y,on file at mme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,,,,,,,,Thin,,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Cape Elizabeth,1509,Crescent Beach,43.563706,actual,-70.220114,actual,Internet,,,,,,,,,,,,N,,,,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
IFAW18-289Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW18-307Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFAW19-204Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2019-1211012,COA190424Pv,NER19-01865,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Lindsey Jones,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,,Hancock,ME,Atlantic Ocean,126 Reach Rd,44.26942,decimal degrees,estimate,-68.66049,decimal degrees,estimate,Map,,,,,,,,,,CBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-APR-24,2019,APR,24,Beach or Land,,,Alive,,2019-APR-24,2019,APR,24,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,,,,,Y,,,,,,,,,UNKNOWN,PUP/CALF,Y,,,,notMeasured,15,lb,estimate,Y,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,N,,,,,,,,,,rseton,,,,69243,N,N,2019-APR-27,College of the Atlantic,70.5,cm,actual,7,kg,actual,,,,,N,N,N,,Admit PDV serum/Positive at 1:256,,,,,,,,70.5,cm,actual,7.5,kg,actual,Pup/Calf,notReleasable,N,,,,N,,,,,Y,Y,2019-APR-27,Marine Mammals of Maine,"Viral infection, hypothermia","Minimally responsive on arrival, unable to stabilize, euthanized shortly after admit. Transferred carcass back to COA for necropsy.",N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,,,,1,GE-2018-0003,,Beach or Land,35,586,,1509,126 Reach Rd,44.26942,estimate,-68.66049,estimate,Map,,,,,,,,,,,,,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,3
